episode,real_score,is_funnel,frame_count,agent_fps,timestamp
1,58.0,0,342,339.2,2026-06-28T19:25:02.652456
2,41.0,0,213,389.0,2026-06-28T19:25:03.205025
3,39.0,0,301,368.8,2026-06-28T19:25:04.025277
4,23.0,0,195,380.0,2026-06-28T19:25:04.543470
5,26.0,0,203,401.8,2026-06-28T19:25:05.051680
6,29.0,0,193,396.4,2026-06-28T19:25:05.542550
7,40.0,0,239,375.7,2026-06-28T19:25:06.183281
8,21.0,0,147,259.3,2026-06-28T19:25:06.754238
9,26.0,0,192,312.9,2026-06-28T19:25:07.371925
10,16.0,0,158,405.5,2026-06-28T19:25:07.765550
11,83.0,0,344,396.1,2026-06-28T19:25:08.639053
12,69.0,0,373,375.4,2026-06-28T19:25:09.638088
13,29.0,0,212,384.1,2026-06-28T19:25:10.196081
14,36.0,0,231,406.3,2026-06-28T19:25:10.767573
15,16.0,0,154,381.4,2026-06-28T19:25:11.175367
16,38.0,0,231,392.8,2026-06-28T19:25:11.766445
17,41.0,0,282,419.9,2026-06-28T19:25:12.442114
18,33.0,0,236,317.5,2026-06-28T19:25:13.190604
19,38.0,0,270,323.7,2026-06-28T19:25:14.027703
20,29.0,0,184,410.9,2026-06-28T19:25:14.479459
21,18.0,0,141,408.5,2026-06-28T19:25:14.828663
22,17.0,0,173,416.6,2026-06-28T19:25:15.247942
23,11.0,0,85,374.6,2026-06-28T19:25:15.478858
24,28.0,0,217,401.0,2026-06-28T19:25:16.022974
25,6.0,0,63,364.2,2026-06-28T19:25:16.199950
26,10.0,0,120,363.9,2026-06-28T19:25:16.532724
27,50.0,0,271,394.4,2026-06-28T19:25:17.222902
28,31.0,0,252,400.0,2026-06-28T19:25:17.856868
29,45.0,0,252,384.9,2026-06-28T19:25:18.516545
30,28.0,0,227,387.0,2026-06-28T19:25:19.107130
31,38.0,0,232,247.0,2026-06-28T19:25:20.049406
32,18.0,0,143,380.4,2026-06-28T19:25:20.429305
33,14.0,0,113,403.5,2026-06-28T19:25:20.713369
34,36.0,0,288,425.6,2026-06-28T19:25:21.394068
35,38.0,0,227,416.5,2026-06-28T19:25:21.944089
36,37.0,0,205,404.1,2026-06-28T19:25:22.455392
37,52.0,0,287,407.3,2026-06-28T19:25:23.162972
38,46.0,0,331,408.4,2026-06-28T19:25:23.978427
39,40.0,0,238,384.5,2026-06-28T19:25:24.602420
40,12.0,0,104,348.6,2026-06-28T19:25:24.903772
41,20.0,0,145,358.0,2026-06-28T19:25:25.312820
42,28.0,0,227,356.1,2026-06-28T19:25:25.954253
43,22.0,0,194,219.4,2026-06-28T19:25:26.842290
44,8.0,0,84,374.7,2026-06-28T19:25:27.069440
45,27.0,0,140,400.3,2026-06-28T19:25:27.422173
46,43.0,0,250,424.5,2026-06-28T19:25:28.015064
47,36.0,0,255,407.0,2026-06-28T19:25:28.645636
48,16.0,0,149,379.7,2026-06-28T19:25:29.042023
49,31.0,0,236,398.6,2026-06-28T19:25:29.638026
50,43.0,0,279,390.5,2026-06-28T19:25:30.356513
51,49.0,0,275,382.3,2026-06-28T19:25:31.081859
52,20.0,0,182,387.4,2026-06-28T19:25:31.556601
53,9.0,0,96,376.4,2026-06-28T19:25:31.815661
54,69.0,0,312,315.1,2026-06-28T19:25:32.810009
55,16.0,0,159,253.5,2026-06-28T19:25:33.442292
56,28.0,0,221,424.4,2026-06-28T19:25:33.966041
57,48.0,0,253,430.2,2026-06-28T19:25:34.558054
58,18.0,0,178,391.6,2026-06-28T19:25:35.016621
59,15.0,0,157,394.9,2026-06-28T19:25:35.417182
60,15.0,0,128,373.2,2026-06-28T19:25:35.763158
61,39.0,0,234,415.2,2026-06-28T19:25:36.330677
62,22.0,0,186,397.0,2026-06-28T19:25:36.802208
63,16.0,0,148,365.4,2026-06-28T19:25:37.210277
1,45.0,0,241,316.2,2026-06-28T19:48:16.733885
2,27.0,0,170,417.6,2026-06-28T19:48:17.146939
3,26.0,0,221,422.1,2026-06-28T19:48:17.674547
4,39.0,0,227,404.6,2026-06-28T19:48:18.238660
5,37.0,0,219,409.7,2026-06-28T19:48:18.777242
6,44.0,0,271,406.2,2026-06-28T19:48:19.447838
7,28.0,0,216,285.4,2026-06-28T19:48:20.208795
8,18.0,0,179,318.2,2026-06-28T19:48:20.775384
9,31.0,0,202,389.1,2026-06-28T19:48:21.297483
10,18.0,0,162,389.4,2026-06-28T19:48:21.718549
11,17.0,0,173,404.1,2026-06-28T19:48:22.150612
