frame,action_idx,action_label,paddle_x,ball_x,ball_y,lives
0,,(start),0,191,172,5
1,3,LEFT,84,160,188,5
2,3,LEFT,102,121,252,4
3,0,NOOP(refire),102,132,12,4
4,3,LEFT,184,55,28,4
5,1,FIRE,184,55,44,4
6,0,NOOP,184,55,60,4
7,1,FIRE,184,55,76,4
8,2,RIGHT,92,131,92,4
9,2,RIGHT,0,191,108,4
10,2,RIGHT,0,191,124,4
11,2,RIGHT,0,191,140,4
12,3,LEFT,84,160,156,4
13,2,RIGHT,0,191,172,4
14,3,LEFT,84,160,188,4
15,0,NOOP,90,145,204,4
16,1,FIRE,90,145,220,4
17,1,FIRE,90,145,236,4
18,1,FIRE,90,145,252,4
19,3,LEFT,182,62,12,4
20,1,FIRE,182,55,28,4
21,2,RIGHT,96,127,44,4
22,1,FIRE,96,138,60,4
23,3,LEFT,184,57,76,4
24,0,NOOP,184,55,92,4
25,0,NOOP,184,55,108,4
26,3,LEFT,184,55,124,4
27,3,LEFT,184,55,140,4
28,1,FIRE,184,55,156,4
29,1,FIRE,184,55,172,4
30,1,FIRE,184,55,188,4
31,3,LEFT,184,55,204,4
32,0,NOOP,184,55,220,4
33,1,FIRE,184,55,236,4
34,1,FIRE,184,55,252,4
35,3,LEFT,184,55,12,4
36,3,LEFT,184,55,28,4
37,0,NOOP,184,55,44,4
38,2,RIGHT,92,131,60,4
39,1,FIRE,92,142,76,4
40,0,NOOP,92,142,92,4
41,1,FIRE,92,142,108,4
42,1,FIRE,92,142,124,4
43,3,LEFT,172,74,140,4
44,3,LEFT,184,55,156,4
45,3,LEFT,184,55,172,4
46,1,FIRE,184,55,188,4
47,1,FIRE,184,55,204,4
48,3,LEFT,184,55,220,4
49,2,RIGHT,92,131,236,4
50,2,RIGHT,0,191,252,4
51,3,LEFT,80,166,12,4
52,3,LEFT,172,74,28,4
53,3,LEFT,184,55,44,4
54,0,NOOP,184,55,60,4
55,2,RIGHT,92,131,76,4
56,1,FIRE,92,142,92,4
57,3,LEFT,184,62,108,4
58,1,FIRE,184,55,124,4
59,0,NOOP,184,55,140,4
60,0,NOOP,184,55,156,4
61,0,NOOP,184,55,172,4
62,1,FIRE,184,55,188,4
63,2,RIGHT,92,131,204,4
64,1,FIRE,92,142,220,4
65,1,FIRE,92,142,236,4
66,3,LEFT,172,74,252,4
67,3,LEFT,184,55,12,4
68,1,FIRE,184,55,28,4
69,1,FIRE,184,55,44,4
70,0,NOOP,184,55,60,4
71,1,FIRE,184,55,76,4
72,1,FIRE,184,55,92,4
73,3,LEFT,184,55,108,4
74,3,LEFT,184,55,124,4
75,2,RIGHT,92,131,140,4
76,2,RIGHT,0,191,156,4
77,3,LEFT,80,166,172,4
