frame,action_idx,action_label,paddle_x,ball_x,ball_y,lives
0,,(start),0,191,112,5
1,3,LEFT,84,160,128,5
2,3,LEFT,90,133,192,4
2,0,NOOP(refire),90,144,208,4
3,3,LEFT,182,62,224,4
4,0,NOOP,182,55,240,4
5,1,FIRE,182,55,0,4
6,1,FIRE,182,55,16,4
7,0,NOOP,182,55,32,4
8,2,RIGHT,96,127,48,4
9,2,RIGHT,0,191,64,4
10,2,RIGHT,0,191,80,4
11,3,LEFT,84,160,96,4
12,1,FIRE,90,145,112,4
13,0,NOOP,90,145,128,4
14,1,FIRE,90,145,144,4
15,3,LEFT,182,62,160,4
16,0,NOOP,184,55,176,4
17,1,FIRE,184,55,192,4
18,3,LEFT,184,55,208,4
19,1,FIRE,184,55,224,4
20,1,FIRE,184,55,240,4
21,2,RIGHT,92,131,0,4
22,2,RIGHT,0,191,16,4
23,3,LEFT,80,166,32,4
24,1,FIRE,80,155,48,4
25,0,NOOP,80,155,64,4
26,1,FIRE,80,155,80,4
27,3,LEFT,172,74,96,4
28,3,LEFT,184,55,112,4
29,3,LEFT,184,55,128,4
30,3,LEFT,184,55,144,4
31,1,FIRE,184,55,160,4
32,0,NOOP,184,55,176,4
33,2,RIGHT,92,131,192,4
34,2,RIGHT,0,191,208,4
35,3,LEFT,80,166,224,4
36,2,RIGHT,0,191,240,4
37,0,NOOP,0,191,0,4
38,3,LEFT,80,166,16,4
39,3,LEFT,172,74,32,4
40,3,LEFT,184,55,48,4
41,2,RIGHT,92,131,64,4
42,0,NOOP,86,148,80,4
43,0,NOOP,86,148,96,4
44,1,FIRE,86,148,112,4
45,3,LEFT,172,74,128,4
46,3,LEFT,184,55,144,4
47,2,RIGHT,92,131,160,4
48,3,LEFT,184,62,176,4
49,2,RIGHT,92,131,192,4
50,0,NOOP,92,142,208,4
51,0,NOOP,92,142,224,4
52,3,LEFT,184,62,240,4
53,2,RIGHT,92,131,0,4
54,2,RIGHT,0,191,64,3
54,0,NOOP(refire),0,191,80,3
55,3,LEFT,80,166,96,3
56,3,LEFT,172,74,112,3
57,3,LEFT,184,55,128,3
58,3,LEFT,92,131,192,2
58,0,NOOP(refire),80,154,208,2
59,3,LEFT,172,74,224,2
60,3,LEFT,184,55,240,2
61,0,NOOP,184,55,0,2
62,1,FIRE,184,55,16,2
63,1,FIRE,184,55,32,2
64,2,RIGHT,92,131,48,2
65,2,RIGHT,0,191,64,2
66,2,RIGHT,0,191,80,2
67,3,LEFT,84,160,96,2
68,2,RIGHT,0,191,112,2
69,3,LEFT,0,191,176,1
69,0,NOOP(refire),0,191,192,1
70,3,LEFT,96,150,208,1
71,3,LEFT,184,57,224,1
72,3,LEFT,184,55,240,1
73,3,LEFT,16,191,116,0
